9.6861 -1.042732e-05 -1.7387605e-07 -2.4469998e-06 -1.4204683e-07 -2.4469998e-06 -1.4204683e-07
9.6977276 -1.0402061e-05 -1.7305367e-07 -2.4409154e-06 -1.4137499e-07 -2.4409154e-06 -1.4137499e-07
9.7093553 -1.0376893e-05 -1.7223473e-07 -2.4348531e-06 -1.4070596e-07 -2.4348531e-06 -1.4070596e-07
9.7209829 -1.0351816e-05 -1.7141921e-07 -2.4288128e-06 -1.4003973e-07 -2.4288128e-06 -1.4003973e-07
9.7326106 -1.0326828e-05 -1.7060709e-07 -2.4227944e-06 -1.3937628e-07 -2.4227944e-06 -1.3937628e-07
9.7442382 -1.0301967e-05 -1.6979836e-07 -2.4168277e-06 -1.3871559e-07 -2.4168277e-06 -1.3871559e-07
9.7558658 -1.0277211e-05 -1.68993e-07 -2.4108953e-06 -1.3805766e-07 -2.4108953e-06 -1.3805766e-07
9.7674935 -1.0252543e-05 -1.6819099e-07 -2.4049843e-06 -1.3740246e-07 -2.4049843e-06 -1.3740246e-07
9.7791211 -1.0227964e-05 -1.6739232e-07 -2.3990946e-06 -1.3674999e-07 -2.3990946e-06 -1.3674999e-07
9.7907487 -1.0203479e-05 -1.6659696e-07 -2.393232e-06 -1.3610023e-07 -2.393232e-06 -1.3610023e-07
9.8023764 -1.0179093e-05 -1.6580491e-07 -2.3873995e-06 -1.3545317e-07 -2.3873995e-06 -1.3545317e-07
9.814004 -1.0154794e-05 -1.6501613e-07 -2.3815879e-06 -1.3480879e-07 -2.3815879e-06 -1.3480879e-07
9.8256317 -1.0130581e-05 -1.6423063e-07 -2.375797e-06 -1.3416707e-07 -2.375797e-06 -1.3416707e-07
9.8372593 -1.0106454e-05 -1.6344838e-07 -2.3700269e-06 -1.3352802e-07 -2.3700269e-06 -1.3352802e-07
9.8488869 -1.0082413e-05 -1.6266936e-07 -2.3642774e-06 -1.328916e-07 -2.3642774e-06 -1.328916e-07
9.8605146 -1.0058457e-05 -1.6189355e-07 -2.3585484e-06 -1.3225781e-07 -2.3585484e-06 -1.3225781e-07
9.8721422 -1.0034586e-05 -1.6112095e-07 -2.3528398e-06 -1.3162664e-07 -2.3528398e-06 -1.3162664e-07
9.8837698 -1.0010799e-05 -1.6035154e-07 -2.3471516e-06 -1.3099807e-07 -2.3471516e-06 -1.3099807e-07
9.8953975 -9.9870967e-06 -1.5958529e-07 -2.3414835e-06 -1.3037209e-07 -2.3414835e-06 -1.3037209e-07
9.9070251 -9.9634777e-06 -1.5882219e-07 -2.3358356e-06 -1.2974869e-07 -2.3358356e-06 -1.2974869e-07
9.9186528 -9.9399419e-06 -1.5806224e-07 -2.3302077e-06 -1.2912785e-07 -2.3302077e-06 -1.2912785e-07
9.9302804 -9.916489e-06 -1.573054e-07 -2.3245998e-06 -1.2850956e-07 -2.3245998e-06 -1.2850956e-07
